product_id,low_fats,recyclable
1,N,N
2,N,Y
3,Y,N
4,N,N
5,Y,N
6,Y,Y
7,N,N
8,Y,N
9,Y,Y
10,N,N
11,N,N
12,N,N
13,N,Y
14,Y,N
15,N,Y
16,N,Y
17,N,N
18,Y,Y
19,Y,Y
20,N,N
21,N,N
22,Y,Y
23,Y,N
24,Y,N
25,Y,N
26,Y,N
27,N,Y
28,Y,N
29,Y,N
30,N,N
31,N,Y
32,N,N
33,Y,N
34,Y,N
35,Y,Y
36,Y,N
37,N,Y
38,N,Y
39,N,Y
40,N,N
41,Y,N
42,Y,N
43,N,Y
44,Y,N
45,Y,Y
46,Y,N
47,Y,N
48,N,N
49,N,N
50,N,Y
51,N,N
52,N,N
53,Y,N
54,Y,Y
55,Y,Y
56,N,N
57,N,Y
58,Y,N
59,Y,Y
60,Y,Y
61,Y,N
62,N,N
63,N,Y
64,Y,Y
65,N,Y
66,N,N
67,N,Y
68,Y,N
69,N,N
70,N,Y
71,Y,N
72,Y,N
73,Y,N
74,Y,Y
75,Y,N
76,Y,N
77,Y,Y
78,Y,N
79,N,Y
80,Y,Y
81,N,N
82,Y,N
83,N,N
84,Y,Y
85,Y,Y
86,N,Y
87,N,Y
88,N,N
89,N,N
90,N,N
91,N,N
92,Y,Y
93,N,Y
94,Y,N
95,Y,Y
96,N,N
97,Y,N
98,Y,Y
99,Y,Y
100,Y,Y
