bill_id,customer_id,amount
1,10,206
2,7,999
3,2,237
4,19,370
5,24,218
6,18,209
7,2,860
8,24,666
9,11,259
10,2,378
11,2,388
12,19,719
13,16,315
14,17,834
15,30,451
16,28,308
17,17,803
18,6,749
19,2,973
20,17,370
21,3,617
22,28,600
23,6,357
24,3,966
25,20,152
26,3,194
27,22,749
28,28,533
29,8,949
30,13,383
31,4,145
32,29,103
33,19,441
34,8,889
35,19,233
36,20,752
37,2,368
38,20,265
39,3,859
40,14,552
41,22,664
42,19,822
43,19,537
44,17,674
45,11,109
46,30,214
47,9,177
48,7,807
49,22,252
50,23,658
51,11,136
52,8,954
53,9,478
54,13,696
55,5,665
56,22,251
57,21,540
58,10,230
59,15,142
60,11,415
61,30,473
62,25,915
63,30,981
64,3,140
65,1,466
66,15,315
67,20,798
68,19,355
69,4,782
70,3,205
71,18,462
72,7,898
73,17,673
74,9,995
75,5,516
76,30,735
77,12,867
78,29,258
79,3,342
80,29,985
81,8,266
82,12,919
83,10,930
84,6,281
85,15,522
86,27,125
87,18,283
88,23,854
89,10,440
90,20,901
91,26,521
92,21,921
93,17,785
94,1,984
95,22,852
96,27,930
97,18,354
98,10,373
99,30,263
100,22,906
