teacher_id,subject_id,dept_id
4,116,23
1,148,16
9,136,27
8,135,16
8,117,19
5,148,22
4,138,30
18,128,21
3,138,24
19,126,26
14,124,24
2,115,13
1,109,17
3,133,17
7,132,12
8,106,20
17,149,10
20,104,28
1,108,27
18,110,17
7,141,28
18,111,17
14,144,10
8,128,12
15,139,30
19,105,11
9,125,17
1,125,12
6,139,11
14,130,20
11,134,12
9,117,26
5,136,17
7,101,18
11,144,25
4,147,16
13,144,14
4,135,28
12,149,28
12,118,25
20,150,17
9,142,25
2,122,23
15,108,16
18,119,13
4,128,13
13,111,23
3,130,21
18,101,23
10,147,23
20,147,24
12,117,11
19,133,30
7,149,30
3,112,13
2,133,11
8,107,22
10,141,20
3,120,13
8,141,17
4,133,16
13,139,16
9,113,27
15,110,24
12,124,14
6,149,23
12,111,15
12,135,18
7,150,24
9,134,17
3,101,12
20,139,24
6,121,27
18,132,13
8,102,11
6,108,30
15,124,27
13,120,10
9,116,12
18,104,17
8,116,15
11,137,23
2,106,25
11,132,22
9,149,15
3,135,22
7,150,10
19,109,22
11,109,18
7,143,24
16,131,19
13,136,23
15,111,27
5,117,25
9,134,14
