article_id,author_id,viewer_id,view_date
2,5,2,2023-08-07
6,3,10,2023-12-03
10,1,4,2023-06-19
10,1,4,2023-06-19
3,1,8,2023-05-11
3,1,8,2023-05-11
6,1,8,2023-05-13
6,1,8,2023-05-13
10,4,9,2023-05-30
8,4,7,2023-03-26
8,4,7,2023-03-26
10,4,6,2023-06-22
10,4,6,2023-06-22
3,2,9,2023-09-01
5,4,4,2023-10-22
5,4,4,2023-10-22
2,3,6,2023-05-09
3,4,3,2023-06-18
4,2,6,2023-11-23
3,3,2,2023-11-25
9,5,3,2023-12-22
9,5,3,2023-12-22
4,5,3,2023-05-03
2,3,1,2023-01-05
9,5,2,2023-09-30
9,5,2,2023-09-30
3,1,8,2023-10-17
9,1,3,2023-02-03
2,2,9,2023-11-08
4,2,8,2023-09-01
10,2,1,2023-06-02
7,3,4,2023-11-17
10,2,5,2023-06-29
1,1,10,2023-03-27
1,1,10,2023-03-27
7,3,5,2023-01-26
10,3,10,2023-02-04
6,2,2,2023-07-08
9,1,1,2023-09-14
