delivery_id,customer_id,order_date,customer_pref_delivery_date
1,167,2024-07-20,2024-07-31
2,186,2024-07-02,2024-07-10
3,122,2024-07-20,2024-07-24
4,173,2024-07-26,2024-07-27
5,133,2024-07-31,2024-08-13
6,128,2024-07-24,2024-08-01
7,171,2024-07-08,2024-07-19
8,160,2024-07-18,2024-08-01
9,119,2024-07-02,2024-07-08
10,139,2024-07-26,2024-08-03
11,147,2024-07-23,2024-08-05
12,112,2024-07-11,2024-07-23
13,107,2024-07-19,2024-07-22
14,146,2024-07-22,2024-08-05
15,171,2024-07-07,2024-07-19
16,180,2024-07-21,2024-07-22
17,186,2024-07-18,2024-07-18
18,114,2024-07-22,2024-08-05
19,124,2024-07-05,2024-07-15
20,189,2024-07-21,2024-07-29
21,179,2024-07-19,2024-07-20
22,171,2024-07-23,2024-07-26
23,119,2024-07-15,2024-07-20
24,134,2024-07-30,2024-07-30
25,128,2024-07-17,2024-07-22
26,125,2024-07-19,2024-07-30
27,192,2024-07-17,2024-07-26
28,142,2024-07-30,2024-07-30
29,171,2024-07-21,2024-07-30
30,160,2024-07-29,2024-08-01
31,186,2024-07-07,2024-07-20
32,184,2024-07-06,2024-07-16
33,120,2024-07-17,2024-07-24
34,123,2024-07-12,2024-07-26
35,136,2024-07-27,2024-07-29
36,137,2024-07-18,2024-07-18
37,170,2024-07-30,2024-08-11
38,102,2024-07-20,2024-08-03
39,186,2024-07-06,2024-07-18
40,141,2024-07-12,2024-07-23
41,124,2024-07-15,2024-07-25
42,153,2024-07-26,2024-08-07
43,184,2024-07-05,2024-07-18
44,119,2024-07-02,2024-07-05
45,189,2024-07-25,2024-08-05
46,116,2024-07-10,2024-07-12
47,140,2024-07-05,2024-07-18
48,124,2024-07-28,2024-07-29
49,141,2024-07-08,2024-07-19
50,166,2024-07-23,2024-07-27
51,139,2024-07-07,2024-07-09
52,119,2024-07-20,2024-07-28
53,134,2024-07-04,2024-07-15
54,115,2024-07-22,2024-07-26
55,166,2024-07-29,2024-07-31
56,171,2024-07-06,2024-07-13
57,189,2024-07-05,2024-07-18
58,125,2024-07-04,2024-07-11
59,143,2024-07-19,2024-07-24
60,190,2024-07-19,2024-07-21
61,143,2024-07-12,2024-07-23
62,183,2024-07-01,2024-07-08
63,126,2024-07-29,2024-08-12
64,176,2024-07-01,2024-07-07
65,125,2024-07-28,2024-08-10
66,189,2024-07-18,2024-07-27
67,101,2024-07-11,2024-07-23
68,134,2024-07-27,2024-08-03
69,166,2024-07-24,2024-07-25
70,149,2024-07-31,2024-08-03
71,163,2024-07-09,2024-07-10
72,173,2024-07-01,2024-07-04
73,162,2024-07-25,2024-08-07
74,184,2024-07-26,2024-07-26
75,152,2024-07-17,2024-07-26
76,182,2024-07-15,2024-07-16
77,129,2024-07-14,2024-07-26
78,181,2024-07-25,2024-08-06
79,159,2024-07-07,2024-07-17
80,190,2024-07-31,2024-08-02
81,159,2024-07-25,2024-08-03
82,126,2024-07-06,2024-07-10
83,164,2024-07-30,2024-08-07
84,154,2024-07-22,2024-08-02
85,169,2024-07-26,2024-08-08
86,196,2024-07-05,2024-07-18
87,136,2024-07-27,2024-08-08
88,150,2024-07-01,2024-07-10
89,188,2024-07-27,2024-07-29
90,195,2024-07-20,2024-07-20
91,195,2024-07-01,2024-07-10
92,107,2024-07-22,2024-07-25
93,191,2024-07-21,2024-07-23
94,175,2024-07-27,2024-08-05
95,135,2024-07-24,2024-08-07
96,105,2024-07-28,2024-07-29
97,188,2024-07-26,2024-07-26
98,157,2024-07-17,2024-07-23
99,122,2024-07-17,2024-07-23
100,196,2024-07-22,2024-08-01
101,196,2024-07-14,2024-07-18
102,196,2024-07-18,2024-07-25
103,120,2024-07-25,2024-07-26
104,191,2024-07-05,2024-07-19
105,195,2024-07-09,2024-07-12
106,172,2024-07-15,2024-07-15
107,107,2024-07-07,2024-07-10
108,199,2024-07-28,2024-07-31
109,187,2024-07-28,2024-07-29
110,105,2024-07-20,2024-07-21
111,134,2024-07-26,2024-08-02
112,123,2024-07-14,2024-07-18
113,134,2024-07-31,2024-08-11
114,184,2024-07-21,2024-08-02
115,173,2024-07-17,2024-07-29
116,166,2024-07-23,2024-08-06
117,159,2024-07-02,2024-07-13
118,135,2024-07-29,2024-08-11
119,195,2024-07-03,2024-07-09
120,145,2024-07-22,2024-07-22
121,185,2024-07-22,2024-07-30
122,186,2024-07-02,2024-07-08
123,168,2024-07-23,2024-07-30
124,166,2024-07-16,2024-07-18
125,118,2024-07-07,2024-07-15
126,104,2024-07-03,2024-07-05
127,189,2024-07-11,2024-07-21
128,134,2024-07-05,2024-07-05
129,158,2024-07-21,2024-07-30
130,147,2024-07-17,2024-07-22
131,111,2024-07-21,2024-07-29
132,185,2024-07-24,2024-07-24
133,114,2024-07-14,2024-07-26
134,132,2024-07-09,2024-07-20
135,175,2024-07-13,2024-07-21
136,135,2024-07-12,2024-07-20
137,182,2024-07-05,2024-07-08
138,114,2024-07-18,2024-07-26
139,145,2024-07-31,2024-08-10
140,196,2024-07-30,2024-08-13
141,127,2024-07-18,2024-07-26
142,122,2024-07-31,2024-08-11
143,106,2024-07-15,2024-07-29
144,178,2024-07-13,2024-07-25
145,175,2024-07-26,2024-08-07
146,169,2024-07-03,2024-07-03
147,161,2024-07-18,2024-07-18
148,184,2024-07-06,2024-07-17
149,168,2024-07-07,2024-07-15
150,137,2024-07-22,2024-08-04
151,129,2024-07-08,2024-07-11
152,133,2024-07-19,2024-08-02
153,160,2024-07-17,2024-07-31
154,149,2024-07-27,2024-08-06
155,133,2024-07-05,2024-07-18
156,132,2024-07-08,2024-07-18
157,172,2024-07-10,2024-07-24
158,145,2024-07-21,2024-07-27
159,143,2024-07-13,2024-07-19
160,181,2024-07-03,2024-07-16
161,105,2024-07-06,2024-07-14
162,115,2024-07-14,2024-07-20
163,104,2024-07-27,2024-08-09
164,157,2024-07-05,2024-07-07
165,121,2024-07-30,2024-08-05
166,196,2024-07-10,2024-07-17
167,124,2024-07-05,2024-07-19
168,200,2024-07-27,2024-08-10
169,155,2024-07-15,2024-07-25
170,111,2024-07-04,2024-07-09
171,132,2024-07-07,2024-07-20
172,184,2024-07-31,2024-08-03
173,181,2024-07-31,2024-08-07
174,139,2024-07-06,2024-07-15
175,122,2024-07-26,2024-07-26
176,190,2024-07-09,2024-07-19
177,181,2024-07-21,2024-07-28
178,193,2024-07-24,2024-08-04
179,119,2024-07-04,2024-07-09
180,102,2024-07-09,2024-07-17
181,118,2024-07-04,2024-07-12
182,155,2024-07-10,2024-07-23
183,175,2024-07-26,2024-08-07
184,117,2024-07-31,2024-08-14
185,186,2024-07-21,2024-07-30
186,135,2024-07-01,2024-07-14
187,127,2024-07-13,2024-07-25
188,149,2024-07-24,2024-08-03
189,142,2024-07-29,2024-08-01
190,122,2024-07-17,2024-07-18
191,101,2024-07-13,2024-07-23
192,105,2024-07-21,2024-08-03
193,119,2024-07-19,2024-07-29
194,144,2024-07-07,2024-07-12
195,110,2024-07-03,2024-07-05
196,138,2024-07-04,2024-07-08
197,136,2024-07-15,2024-07-22
198,126,2024-07-21,2024-07-25
199,158,2024-07-26,2024-08-05
200,171,2024-07-20,2024-07-21
