id,salary
1,6045
2,7062
3,9198
4,3433
5,3784
6,5347
7,4851
8,7243
9,9569
10,7331
11,8223
12,5649
13,4389
14,4416
15,3111
16,8592
17,9691
18,5408
19,7487
20,6330
21,7312
22,5247
23,3582
24,9801
25,4857
26,3854
27,9608
28,6807
29,7914
30,7999
31,6676
32,3158
33,6887
34,5761
35,7453
36,3365
37,4972
38,9778
39,3949
40,3199
41,9102
42,7841
43,3817
44,8748
45,8088
46,9147
47,9624
48,8827
49,5761
50,4413
51,5082
52,9667
53,6017
54,3323
55,9557
56,9151
57,5389
58,5935
59,5823
60,4540
61,7932
62,6228
63,9075
64,9915
65,7743
66,8358
67,4548
68,8680
69,7928
70,3822
71,8610
72,9257
73,4366
74,9878
75,8451
76,7702
77,8511
78,7770
79,4308
80,8369
81,5610
82,5588
83,8752
84,5722
85,4192
86,9002
87,9780
88,6845
89,7028
90,7615
91,5739
92,7268
93,6822
94,6357
95,3068
96,4649
97,4808
98,5233
99,7912
100,4458
101,8247
102,8014
103,7559
104,3569
105,5172
106,7757
107,6336
108,9274
109,6206
110,6221
111,6258
112,5370
113,9532
114,4614
115,4892
116,7396
117,9892
118,3500
119,6744
120,6059
121,8299
122,4414
123,9139
124,9594
125,5289
126,3763
127,3889
128,7324
129,6265
130,7487
131,6784
132,7070
133,4343
134,5528
135,9392
136,5447
137,6581
138,7029
139,8253
140,9644
141,8316
142,3655
143,3592
144,4842
145,5562
146,9771
147,3922
148,6977
149,8399
150,7538
151,4194
152,6311
153,6091
154,9834
155,9864
156,9417
157,6562
158,4246
159,6989
160,9640
161,3251
162,6513
163,8904
164,6793
165,6733
166,7408
167,7101
168,7075
169,4494
170,4299
171,6361
172,5195
173,8942
174,8845
175,7377
176,8355
177,8832
178,7420
179,8817
180,3832
181,6777
182,3696
183,5408
184,6819
185,4953
186,5777
187,3686
188,7987
189,8839
190,7042
191,9930
192,5976
193,7262
194,3315
195,4488
196,3734
197,7408
198,6694
199,5370
200,6089
201,9888
202,6254
203,5671
204,3177
205,8434
206,4174
207,3770
208,7138
209,3203
210,5674
211,4382
212,4870
213,3239
214,9484
215,6585
216,5324
217,6530
218,8720
219,4005
220,8311
221,8196
222,5311
223,8622
224,5782
225,7496
226,9404
227,8517
228,5932
229,8519
230,6299
231,8744
232,9218
233,6637
234,9433
235,5556
236,8069
237,8628
238,4434
239,7013
240,9166
241,6097
242,9438
243,8319
244,7900
245,3982
246,7303
247,4318
248,9627
249,5548
250,7715
251,9995
252,7748
253,7331
254,7403
255,7770
256,3901
257,7950
258,7850
259,4962
260,3750
261,5548
262,3933
263,9340
264,8476
265,4525
266,5763
267,5712
268,8874
269,3103
270,7297
271,5039
272,9350
273,4389
274,3283
275,3451
276,4435
277,4223
278,8143
279,5030
280,5740
281,7087
282,5230
283,9519
284,3961
285,3768
286,4023
287,8160
288,8883
289,8675
290,5647
291,9387
292,4441
293,7347
294,7693
295,9889
296,4531
297,8504
298,3205
299,3915
300,5433
