product_id,store1,store2,store3
1,,27.0,207.0
2,441.0,95.0,150.0
3,487.0,,441.0
4,419.0,,378.0
5,123.0,129.0,278.0
6,469.0,,407.0
7,58.0,306.0,180.0
8,,35.0,
9,321.0,88.0,16.0
10,446.0,41.0,
11,135.0,135.0,
12,422.0,192.0,263.0
13,376.0,486.0,316.0
14,216.0,120.0,343.0
15,,142.0,355.0
16,380.0,22.0,278.0
17,323.0,287.0,413.0
18,,89.0,30.0
19,326.0,46.0,289.0
20,98.0,193.0,228.0
21,,,342.0
22,423.0,326.0,371.0
23,29.0,196.0,
24,14.0,412.0,478.0
25,280.0,77.0,491.0
26,,,496.0
27,275.0,375.0,137.0
28,372.0,151.0,103.0
29,,225.0,101.0
30,227.0,287.0,
31,,,393.0
32,149.0,,451.0
33,291.0,106.0,17.0
34,127.0,275.0,340.0
35,448.0,76.0,387.0
36,249.0,238.0,264.0
37,37.0,486.0,
38,150.0,,458.0
39,147.0,168.0,29.0
40,106.0,259.0,376.0
41,,372.0,
42,309.0,250.0,177.0
43,445.0,244.0,177.0
44,95.0,396.0,40.0
45,,230.0,487.0
46,464.0,110.0,282.0
47,207.0,,
48,,264.0,16.0
49,114.0,,
50,,,362.0
51,117.0,185.0,342.0
52,,,85.0
53,10.0,269.0,260.0
54,97.0,170.0,227.0
55,360.0,129.0,126.0
56,333.0,321.0,224.0
57,106.0,495.0,
58,170.0,254.0,
59,325.0,,376.0
60,481.0,215.0,350.0
61,359.0,312.0,310.0
62,434.0,241.0,254.0
63,332.0,,334.0
64,273.0,130.0,253.0
65,158.0,402.0,141.0
66,294.0,104.0,49.0
67,416.0,209.0,
68,20.0,311.0,25.0
69,143.0,,43.0
70,339.0,440.0,415.0
71,41.0,430.0,120.0
72,416.0,366.0,21.0
73,376.0,196.0,322.0
74,97.0,434.0,353.0
75,,357.0,93.0
76,181.0,267.0,431.0
77,247.0,325.0,410.0
78,159.0,139.0,97.0
79,464.0,69.0,255.0
80,469.0,59.0,88.0
81,363.0,69.0,463.0
82,421.0,435.0,
83,56.0,45.0,470.0
84,111.0,62.0,422.0
85,276.0,174.0,192.0
86,39.0,,265.0
87,305.0,220.0,429.0
88,322.0,,
89,378.0,379.0,
90,,171.0,460.0
91,,,239.0
92,30.0,464.0,103.0
93,41.0,,169.0
94,,16.0,
95,227.0,120.0,164.0
96,,239.0,
97,270.0,202.0,101.0
98,448.0,284.0,418.0
99,,213.0,339.0
100,141.0,452.0,432.0
